Changing Variable,mean_neg_dwell_time,mean_pos_dwell_time,pos_time_fraction,neg_time_fraction,pos_fraction + neg_fraction,p,sigma,B,x0,y0,z0,steps,dt
25,2.0544572368777714,2.0573889802981564,0.5003564996434131,0.49964350035658694,1.0,25,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
25,2.03192790606989,2.017481781411052,0.49831750168246425,0.5016824983175358,1.0,25,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
25,2.0500324543960993,2.0059529602941897,0.49466750533254067,0.5053324946674593,1.0,25,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
25,2.0713600334102815,2.100525657107806,0.5034954965045918,0.49650450349540826,1.0,25,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
25,2.095147486533533,2.0594058994954896,0.4956985043015411,0.5043014956984588,1.0,25,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
25,2.0610521955610253,2.0814540182632735,0.5024624975376215,0.4975375024623785,1.0,25,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
26,1.8768529076718887,1.9239870771900862,0.5062004937995185,0.49379950620048146,1.0,26,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
26,1.9118254269778236,1.8825303490460132,0.4962345037654972,0.5037654962345027,1.0,26,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
26,1.9460744763718223,1.932155874402985,0.4983025016974645,0.5016974983025355,1.0,26,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
26,1.9344712644008824,1.8969501916036604,0.49510350489654176,0.5048964951034582,1.0,26,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
26,1.9081814716304641,1.9042508578288788,0.4994845005154304,0.5005154994845695,1.0,26,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
26,1.9468547465069106,1.8655775829524324,0.4893405106595027,0.5106594893404973,1.0,26,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
27,1.8468523268912984,1.8174972517718957,0.4959945040055223,0.5040054959944776,1.0,27,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
27,1.7830716846184804,1.8005159441369747,0.5025234974764959,0.49747650252350406,1.0,27,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
27,1.821773667060852,1.8053608995593355,0.49773750226245256,0.5022624977375474,1.0,27,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
27,1.7662656641906707,1.814117436479525,0.5066824933175303,0.49331750668246965,1.0,27,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
27,1.8027634915196797,1.8191162622549877,0.5022574977424727,0.49774250225752725,1.0,27,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
